Date,price,VIX,TNX,returns,momentum_20,realised_vol_20,ma_50,trend,vol_adj_mom,yield_change,trend_strength,market_regime,trend_direction
2015-03-16,172.73361206054688,15.609999656677246,2.0980000495910645,0.013360281628663984,-0.005720484128796555,0.007241977560796124,170.5972119140625,0.012523066013297822,-0.7897973010105223,-0.01399993896484375,0.012523066013297822,chop,1.0
2015-03-17,172.22019958496094,15.65999984741211,2.058000087738037,-0.002972278929742833,-0.010232643875562775,0.007252677709847178,170.6391162109375,0.009265656135191041,-1.4106835573451963,-0.039999961853027344,0.009265656135191041,chop,1.0
2015-03-18,174.2905731201172,13.970000267028809,1.950999975204468,0.012021664939105392,0.0015705347306425033,0.007774762137156582,170.7838751220703,0.02053295719833283,0.20197823736630038,-0.10700011253356911,0.02053295719833283,chop,1.0
2015-03-19,173.49557495117188,14.06999969482422,1.9769999980926516,-0.00456133774026557,-0.0022857508892175638,0.007843443636189888,170.9442041015625,0.014925167325904463,-0.29138470428576785,0.026000022888183594,0.014925167325904463,chop,1.0
2015-03-20,175.0269775390625,13.020000457763672,1.9299999475479128,0.008826753006937693,0.0005171554027998404,0.007983072189159345,171.09391876220704,0.02298771812177485,0.0647733876331963,-0.04700005054473877,0.02298771812177485,chop,1.0
2015-03-23,174.68589782714844,13.40999984741211,1.9149999618530276,-0.0019487265146764798,-0.0012908474666170067,0.007995644869585747,171.1773522949219,0.020496552173453805,-0.16142363299470583,-0.014999985694885254,0.020496552173453805,chop,1.0
2015-03-24,173.70433044433594,13.619999885559082,1.878000020980835,-0.005619041920508994,-0.0097158245919996,0.008059067249813827,171.26848266601561,0.014222393638357736,-1.2054272366305652,-0.036999940872192605,0.014222393638357736,chop,1.0
2015-03-25,171.1588897705078,15.4399995803833,1.919999957084656,-0.014653869983073498,-0.023397058089887124,0.008662947890698911,171.33520599365235,-0.0010290717667860475,-2.700507711386952,0.04199993610382102,0.0010290717667860475,chop,-1.0
2015-03-26,170.7513427734375,15.800000190734863,2.006999969482422,-0.002381103298909948,-0.024570275576618172,0.008667348244178223,171.40321746826172,-0.0038031648673393266,-2.8344818279676174,0.08700001239776589,0.0038031648673393266,chop,-1.0
2015-03-27,171.1422882080078,15.06999969482422,1.9479999542236328,0.002289559942664887,-0.018995535792379337,0.008684855541620427,171.49925537109374,-0.002081450221538939,-2.1869504623185967,-0.05900001525878906,0.002081450221538939,chop,-1.0
2015-03-30,173.23019409179688,14.510000228881836,1.963000059127808,0.012199824518247748,-0.01325731764300142,0.009035634374667872,171.66752655029296,0.009102872120931402,-1.467063631584483,0.015000104904175249,0.009102872120931402,chop,1.0
