Date,Close
2015-01-02,170.12498474121094
2015-01-05,167.05262756347656
2015-01-06,165.4791259765625
2015-01-07,167.54124450683594
2015-01-08,170.51422119140625
2015-01-09,169.14781188964844
2015-01-12,167.82272338867188
2015-01-13,167.35076904296875
2015-01-14,166.34039306640625
2015-01-15,164.81663513183594
2015-01-16,166.97805786132812
2015-01-20,167.3341827392578
2015-01-21,168.17884826660156
2015-01-22,170.67987060546875
2015-01-23,169.74404907226562
2015-01-26,170.14154052734375
2015-01-27,167.89730834960938
2015-01-28,165.74415588378906
2015-01-29,167.27618408203125
2015-01-30,165.17274475097656
2015-02-02,167.21823120117188
2015-02-03,169.6364288330078
2015-02-04,168.99041748046875
2015-02-05,170.6964111328125
2015-02-06,170.22439575195312
2015-02-09,169.46249389648438
2015-02-10,171.267822265625
2015-02-11,171.36724853515625
2015-02-12,173.01516723632812
2015-02-13,173.7274169921875
2015-02-17,174.0006866455078
2015-02-18,174.01727294921875
2015-02-19,173.89305114746094
2015-02-20,174.93650817871094
2015-02-23,174.91168212890625
2015-02-24,175.4085693359375
2015-02-25,175.2594451904297
2015-02-26,175.05242919921875
2015-02-27,174.4561767578125
2015-03-02,175.5576171875
2015-03-03,174.8371124267578
2015-03-04,174.10011291503906
2015-03-05,174.2905731201172
2015-03-06,171.83926391601562
2015-03-09,172.55145263671875
2015-03-10,169.75234985351562
2015-03-11,169.3548583984375
2015-03-12,171.50804138183594
2015-03-13,170.45626831054688
2015-03-16,172.73361206054688
2015-03-17,172.22019958496094
2015-03-18,174.2905731201172
2015-03-19,173.49557495117188
2015-03-20,175.0269775390625
2015-03-23,174.68589782714844
2015-03-24,173.70433044433594
2015-03-25,171.1588897705078
2015-03-26,170.7513427734375
2015-03-27,171.1422882080078
2015-03-30,173.23019409179688
2015-03-31,171.71624755859375
2015-04-01,171.1090087890625
2015-04-02,171.7245635986328
2015-04-06,172.8808135986328
2015-04-07,172.42332458496094
2015-04-08,173.005615234375
2015-04-09,173.77085876464844
2015-04-10,174.71917724609375
2015-04-13,173.92893981933594
2015-04-14,174.26168823242188
2015-04-15,175.04360961914062
2015-04-16,174.99375915527344
2015-04-17,172.9806365966797
2015-04-20,174.56112670898438
2015-04-21,174.3531951904297
2015-04-22,175.20993041992188
2015-04-23,175.65081787109375
2015-04-24,176.05841064453125
2015-04-27,175.32644653320312
2015-04-28,175.8837432861328
2015-04-29,175.16004943847656
2015-04-30,173.40487670898438
2015-05-01,175.2848358154297
2015-05-04,175.78392028808594
2015-05-05,173.77085876464844
2015-05-06,173.05548095703125
2015-05-07,173.7459259033203
2015-05-08,176.03346252441406
2015-05-11,175.19337463378906
2015-05-12,174.66928100585938
2015-05-13,174.70257568359375
2015-05-14,176.5242919921875
2015-05-15,176.71560668945312
2015-05-18,177.26461791992188
2015-05-19,177.2063751220703
2015-05-20,177.0815887451172
2015-05-21,177.59735107421875
2015-05-22,177.17311096191406
2015-05-26,175.2681884765625
2015-05-27,176.931884765625
2015-05-28,176.73220825195312
2015-05-29,175.6342010498047
2015-06-01,175.99191284179688
2015-06-02,175.8171844482422
2015-06-03,176.28298950195312
2015-06-04,174.79403686523438
2015-06-05,174.4945526123047
2015-06-08,173.42149353027344
2015-06-09,173.39657592773438
2015-06-10,175.47618103027344
2015-06-11,176.04176330566406
2015-06-12,174.69419860839844
2015-06-15,173.94558715820312
2015-06-16,174.8938446044922
2015-06-17,175.17666625976562
2015-06-18,176.99842834472656
2015-06-19,176.21270751953125
2015-06-22,177.1154327392578
2015-06-23,177.2408447265625
2015-06-24,175.95350646972656
2015-06-25,175.41859436035156
2015-06-26,175.3851776123047
2015-06-29,171.70721435546875
2015-06-30,172.06666564941406
2015-07-01,173.4458770751953
2015-07-02,173.287109375
2015-07-06,172.79396057128906
2015-07-07,173.88058471679688
2015-07-08,170.96334838867188
2015-07-09,171.2725372314453
2015-07-10,173.42919921875
2015-07-13,175.34339904785156
2015-07-14,176.10397338867188
2015-07-15,176.04554748535156
2015-07-16,177.4581756591797
2015-07-17,177.60861206054688
2015-07-20,177.70054626464844
2015-07-21,176.99844360351562
2015-07-22,176.6807403564453
2015-07-23,175.68603515625
2015-07-24,173.86380004882812
2015-07-27,172.8524627685547
2015-07-28,174.97560119628906
2015-07-29,176.17922973632812
2015-07-30,176.2210235595703
2015-07-31,175.95350646972656
2015-08-03,175.36007690429688
2015-08-04,175.0173797607422
2015-08-05,175.5941619873047
2015-08-06,174.15638732910156
2015-08-07,173.82203674316406
2015-08-10,176.0120849609375
2015-08-11,174.423828125
